algo,n,trial,time_ns,comparisons,updates,array_accesses,majority
boyermoore,100,0,9300,100,50,100,None
boyermoore,100,1,12300,100,50,100,None
boyermoore,100,2,12000,100,50,100,None
boyermoore,100,3,9000,100,50,100,None
boyermoore,100,4,11400,100,50,100,None
boyermoore,100,5,11200,100,50,100,None
boyermoore,100,6,11400,100,50,100,None
boyermoore,100,7,12900,100,50,100,None
boyermoore,100,8,9100,100,50,100,None
boyermoore,100,9,9000,100,50,100,None
boyermoore,1000,0,89800,1000,500,1000,None
boyermoore,1000,1,74400,1000,500,1000,None
boyermoore,1000,2,91800,1000,500,1000,None
boyermoore,1000,3,92100,1000,500,1000,None
boyermoore,1000,4,75000,1000,500,1000,None
boyermoore,1000,5,94700,1000,500,1000,None
boyermoore,1000,6,70700,1000,501,1000,None
boyermoore,1000,7,88300,1000,500,1000,None
boyermoore,1000,8,89100,1000,500,1000,None
boyermoore,1000,9,91200,1000,500,1000,None
boyermoore,10000,0,541900,10000,5000,10000,None
boyermoore,10000,1,218100,10000,5000,10000,None
boyermoore,10000,2,211900,10000,5001,10000,None
boyermoore,10000,3,209900,10000,5000,10000,None
boyermoore,10000,4,158200,10000,5000,10000,None
boyermoore,10000,5,124900,10000,5002,10000,None
boyermoore,10000,6,166800,10000,5000,10000,None
boyermoore,10000,7,133900,10000,5000,10000,None
boyermoore,10000,8,182100,10000,5000,10000,None
boyermoore,10000,9,91600,10000,5000,10000,None
boyermoore,100000,0,398500,100000,50000,100000,None
boyermoore,100000,1,403500,100000,50000,100000,None
boyermoore,100000,2,276300,100000,50000,100000,None
boyermoore,100000,3,390700,100000,50000,100000,None
boyermoore,100000,4,398700,100000,50000,100000,None
boyermoore,100000,5,363800,100000,50000,100000,None
boyermoore,100000,6,355200,100000,50000,100000,None
boyermoore,100000,7,298000,100000,50000,100000,None
boyermoore,100000,8,262200,100000,50000,100000,None
boyermoore,100000,9,276300,100000,50000,100000,None
